BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
GOMO1S;LP;LPAZ;RW18;GOMOS;RW18;{{N36574646,W025095901},{N37004838,W030032597}}
NAVP2N;LP;LPAZ;RW36;NAVPO;RW36;{{N37343128,W025134102},{N37371608,W025185894}}
NAVP2S;LP;LPAZ;RW18;NAVPO;RW18;{{N37343128,W025134102},{N37371608,W025185894}}
VFL1N;LP;LPAZ;RW36;VFL;RW36;{{N36594812,W025103186},{N38191020,W028092906},{N38310990,W028372482}}
VFL1S;LP;LPAZ;RW18;VFL;RW18;{{N36574646,W025095901},{N38191020,W028092906},{N38310990,W028372482}}
VMG1N;LP;LPAZ;RW36;VMG;RW36;{{N36594812,W025103186},{N37283946,W025304270},{N37504556,W025452933}}
VMG1S;LP;LPAZ;RW18;VMG;RW18;{{N37283946,W025304270},{N37504556,W025452933}}
BEJ1N;LP;LPBJ;RW01L;BEJ;RW01L;{{N38074232,W007553608},{N38141681,W007460223},{N37591877,W007395112},{N38074232,W007553608}}
BEJ1S;LP;LPBJ;RW19R;BEJ;RW19R;{{N38014382,W007562290},{N37541291,W007471576},{N38074232,W007553608}}
EVUR1N;LP;LPBJ;RW01L;EVURA;RW01L;{{N38074232,W007553608},{N38395390,W007550657}}
EVUR1S;LP;LPBJ;RW19R;EVURA;RW19R;{{N38014382,W007562290},{N38074232,W007553608},{N38395390,W007550657}}
GAIO1N;LP;LPBJ;RW01L;GAIOS;RW01L;{{N38074232,W007553608},{N38163188,W008323519}}
GAIO1S;LP;LPBJ;RW19R;GAIOS;RW19R;{{N38014382,W007562290},{N38074232,W007553608},{N38163188,W008323519}}
ROSA1N;LP;LPBJ;RW01L;ROSAL;RW01L;{{N38074232,W007553608},{N38060691,W007430532},{N38011743,W007060454}}
ROSA1S;LP;LPBJ;RW19R;ROSAL;RW19R;{{N38014382,W007562290},{N38060691,W007430532},{N38011743,W007060454}}
XAPA1N;LP;LPBJ;RW01L;XAPAS;RW01L;{{N38074232,W007553608},{N37355002,W007565961}}
XAPA1S;LP;LPBJ;RW19R;XAPAS;RW19R;{{N38014382,W007562290},{N37355002,W007565961}}
CP1N;LP;LPCS;RW35;CP;RW35;{{N38383225,W009131746}}
CP1S;LP;LPCS;RW17;CP;RW17;{{N38383225,W009131746}}
ESP1N;LP;LPCS;RW35;ESP;RW35;{{N38252739,W009110881}}
ESP1S;LP;LPCS;RW17;ESP;RW17;{{N38252739,W009110881}}
ALAG1F;LP;LPFR;RW10;ALAGU;RW10;{{N36593220,W007485690},{N37040829,W007415096},{N38051934,W007365227}}
AMSE4E;LP;LPFR;RW10;AMSEL;RW10;{{N37004868,W007583003}}
AMSE4U;LP;LPFR;RW28;AMSEL;RW28;{{N37004868,W007583003}}
