BELLE5;BG;BGTL;RW08;THT13;RW26;{{N76310485,W069093896},{N76310485,W069093896}}
MMD6T;EL;ELLX;RW06;MMD;RW06;{{N49411904,E006225233},{N49382230,E006145040},{N49370052,E005454153},{N49363000,E005350300},{N49232850,E005072790}}
MMD6X;EL;ELLX;RW24;MMD;RW24;{{N49341068,E006042153},{N49370052,E005454153},{N49363000,E005350300},{N49232850,E005072790}}
RAPO3T;EL;ELLX;RW06;RAPOR;RW06;{{N49411904,E006225233},{N49382230,E006145040},{N49370052,E005454153},{N49363000,E005350300},{N49352900,E005124700}}
RAPO3X;EL;ELLX;RW24;RAPOR;RW24;{{N49341068,E006042153},{N49370052,E005454153},{N49363000,E005350300},{N49352900,E005124700}}
RATU1T;EL;ELLX;RW06;RATUM;RW06;{{N49411904,E006225233},{N49513600,E006240300}}
RATU1U;EL;ELLX;RW06;RATUM;RW06;{{N49411904,E006225233},{N49502434,E006100931},{N49513600,E006240300}}
RATU1X;EL;ELLX;RW24;RATUM;RW24;{{N49364600,E006103000},{N49382230,E006145040},{N49513600,E006240300}}
RATU1Y;EL;ELLX;RW24;RATUM;RW24;{{N49341068,E006042153},{N49382230,E006145040},{N49513600,E006240300}}
RATU1Z;EL;ELLX;RW24;RATUM;RW24;{{N49341068,E006042153},{N49514096,E006074671},{N49513600,E006240300}}
ANAX2A;EN;ENAL;RW07;ANAXA;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62305400,E005410600},{N62000000,E005183400}}
BOLN1A;EN;ENAL;RW07;BOLNI;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62330745,E006020391},{N62553500,E007113600}}
NIBV1U;EN;ENAL;RW07;NIBVA;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62111700,E006544400}}
NIBV1W;EN;ENAL;RW25;NIBVA;RW25;{{N62330745,E006020391},{N62291000,E006114600},{N62111700,E006544400}}
NIBV2A;EN;ENAL;RW07;NIBVA;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62330745,E006020391},{N62291000,E006114600},{N62111700,E006544400}}
NIBV2B;EN;ENAL;RW25;NIBVA;RW25;{{N62330745,E006020391},{N62330745,E006020391},{N62291000,E006114600},{N62111700,E006544400}}
SOVI1B;EN;ENAL;RW25;SOVIG;RW25;{{N62330745,E006020391},{N62330745,E006020391},{N62000000,E005491400}}
SOVI1U;EN;ENAL;RW07;SOVIG;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62000000,E005491400}}
SOVI2A;EN;ENAL;RW07;SOVIG;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62330745,E006020391},{N62000000,E005491400}}
SULA1B;EN;ENAL;RW25;SULAD;RW25;{{N62330745,E006020391},{N62330745,E006020391},{N62000000,E005265500}}
SULA2A;EN;ENAL;RW07;SULAD;RW07;{{N62354584,E006131746},{N62354584,E006131746},{N62330745,E006020391},{N62000000,E005265500}}
UTIG2B;EN;ENAL;RW25;UTIGO;RW25;{{N62475535,E006064555},{N62585800,E007002200}}
BADI1A;EN;ENAT;RW11;BADIX;RW11;{{N69583929,E023221854},{N69470200,E022134200}}
BADI1B;EN;ENAT;RW29;BADIX;RW29;{{N69583929,E023221854},{N69470200,E022134200}}
BANS1B;EN;ENAT;RW29;BANSA;RW29;{{N69583929,E023221854},{N70020300,E024164300}}
BANS2A;EN;ENAT;RW11;BANSA;RW11;{{N69583929,E023221854},{N70020300,E024164300}}
BIGS1B;EN;ENAT;RW29;BIGSI;RW29;{{N69583929,E023221854},{N69565300,E024000000}}
BIGS2A;EN;ENAT;RW11;BIGSI;RW11;{{N69583929,E023221854},{N69565300,E024000000}}
KOMA1B;EN;ENAT;RW29;KOMAG;RW29;{{N69583929,E023221854},{N70170200,E023332700}}
KOMA2A;EN;ENAT;RW11;KOMAG;RW11;{{N69583929,E023221854},{N70170200,E023332700}}
NAVG1A;EN;ENAT;RW11;RAVRU;RW11;{{N69583929,E023221854},{N70094900,E024070700}}
NAVG1B;EN;ENAT;RW29;NAVGA;RW29;{{N69583929,E023221854},{N70100400,E024063300}}
RATU1A;EN;ENAT;RW11;RATUL;RW11;{{N69583929,E023221854},{N69570700,E022001100}}
RATU1B;EN;ENAT;RW29;RATUL;RW29;{{N69583929,E023221854},{N69570700,E022001100}}
DETR1D;EN;ENBN;RW22;DETRU;RW22;{{N65331100,E011350000}}
DETR1H;EN;ENBN;RW04;DETRU;RW04;{{N65331100,E011350000}}
SOMB2C;EN;ENBN;RW04;SOMBA;RW04;{{N65184200,E012011800}}
SOMB2D;EN;ENBN;RW22;SOMBA;RW22;{{N65184200,E012011800}}
ULV2C;EN;ENBN;RW04;ULV;RW04;{{N65380266,E012091038}}
VEGA2C;EN;ENBN;RW04;VEGAS;RW04;{{N65272300,E011485400}}
VEGA2D;EN;ENBN;RW22;VEGAS;RW22;{{N65272300,E011485400}}
ARDU1A;EN;ENBO;RW07;ARDUX;RW07;{{N67364000,E014320100}}
BALA3A;EN;ENBO;RW07;BALAK;RW07;{{N67162784,E014431855},{N66511100,E014324600}}
LADA3A;EN;ENBO;RW07;LADAS;RW07;{{N67313600,E015071300}}
LADA3B;EN;ENBO;RW25;LADAS;RW25;{{N67313600,E015071300}}
LEBD3B;EN;ENBO;RW25;LEBDO;RW25;{{N67140400,E013563900},{N67383500,E014105700}}
PISU1B;EN;ENBO;RW25;PISUX;RW25;{{N66540400,E013483800}}
ROSV6A;EN;ENBO;RW07;ROSVI;RW07;{{N67162784,E014431855},{N67312300,E015273700}}
STT3B;EN;ENBO;RW25;STT;RW25;{{N67140400,E013563900},{N67093904,E013461268},{N66553732,E013261895}}
TIPE1A;EN;ENBO;RW07;TIPEL;RW07;{{N67162784,E014431855},{N67155058,E015082561},{N67154300,E016194800}}
BTA1C;EN;ENBR;RW17;BTA;RW17;{{N60025670,E005180195}}
FLO3C;EN;ENBR;RW17;FLO;RW17;{{N60025670,E005180195},{N61000000,E004460000},{N61345362,E005011265}}
FLO3D;EN;ENBR;RW35;FLO;RW35;{{N60325615,E005074365},{N61000000,E005063600},{N61345362,E005011265}}
LUCK3C;EN;ENBR;RW17;LUCKY;RW17;{{N60025670,E005180195},{N59380700,E005051300}}
LUCK3D;EN;ENBR;RW35;LUCKY;RW35;{{N60325615,E005074365},{N59380700,E005051300}}
OKLA3C;EN;ENBR;RW17;OKLAN;RW17;{{N60025670,E005180195},{N59385700,E005245100}}
OKLA3D;EN;ENBR;RW35;OKLAN;RW35;{{N60325615,E005074365},{N59385700,E005245100}}
OLDI1D;EN;ENBR;RW35;OLDIK;RW35;{{N60271300,E004475500}}
ROXE3C;EN;ENBR;RW17;ROXET;RW17;{{N60025670,E005180195},{N60460000,E005552800},{N61351500,E007163900}}
ROXE4D;EN;ENBR;RW35;ROXET;RW35;{{N60325615,E005074365},{N60541000,E005430400},{N61351500,E007163900}}
SOLS3C;EN;ENBR;RW17;SOLSI;RW17;{{N60025670,E005180195},{N59395300,E005442800},{N59094800,E005532500},{N58264000,E007300000}}
SOLS3D;EN;ENBR;RW35;SOLSI;RW35;{{N60325615,E005074365},{N59395300,E005442800},{N59094800,E005532500},{N58264000,E007300000}}
SOPA3C;EN;ENBR;RW17;SOPAR;RW17;{{N60025670,E005180195},{N60063200,E006115700},{N60174400,E007300000}}
SOPA3D;EN;ENBR;RW35;SOPAR;RW35;{{N60325615,E005074365},{N60290700,E006043600},{N60174400,E007300000}}
SORO3C;EN;ENBR;RW17;SOROX;RW17;{{N60025670,E005180195},{N59570000,E006150000},{N59493800,E007300000}}
SORO3D;EN;ENBR;RW35;SOROX;RW35;{{N60325615,E005074365},{N60183500,E006080300},{N59493800,E007300000}}
SOVI3C;EN;ENBR;RW17;SOVIG;RW17;{{N60025670,E005180195},{N61000000,E005270800},{N62000000,E005491400}}
SOVI3D;EN;ENBR;RW35;SOVIG;RW35;{{N60325615,E005074365},{N61000000,E005063600},{N62000000,E005491400}}
SOXU3C;EN;ENBR;RW17;SOXUS;RW17;{{N60025670,E005180195},{N59395300,E005442800},{N59094800,E005532500},{N58522200,E007300000}}
SOXU3D;EN;ENBR;RW35;SOXUS;RW35;{{N60325615,E005074365},{N59395300,E005442800},{N59094800,E005532500},{N58522200,E007300000}}
TINK3C;EN;ENBR;RW17;TINKO;RW17;{{N60025670,E005180195},{N60460000,E005552800},{N61553200,E006383300}}
TINK4D;EN;ENBR;RW35;TINKO;RW35;{{N60325615,E005074365},{N60541000,E005430400},{N61553200,E006383300}}
TUSK1C;EN;ENBR;RW17;TUSKI;RW17;{{N60062400,E004553300}}
VOO1D;EN;ENBR;RW35;VOO;RW35;{{N60325615,E005074365}}
ZOL3C;EN;ENBR;RW17;ZOL;RW17;{{N60025670,E005180195},{N59385700,E005245100},{N58523021,E005382455}}
ZOL3D;EN;ENBR;RW35;ZOL;RW35;{{N60325615,E005074365},{N59380700,E005051300},{N59204752,E005120610},{N58523021,E005382455}}
ARDA1A;EN;ENCN;RW04;ARDAL;RW04;{{N58222700,E008480000}}
ARDA1B;EN;ENCN;RW22;ARDAL;RW22;{{N58222700,E008480000}}
ARSU1A;EN;ENCN;RW04;ARSUD;RW04;{{N57445200,E008384600}}
ARSU1B;EN;ENCN;RW22;ARSUD;RW22;{{N57445200,E008384600}}
LARE2A;EN;ENCN;RW04;LAREM;RW04;{{N58120000,E007353000},{N58135700,E007300000}}
LARE2B;EN;ENCN;RW22;LAREM;RW22;{{N58135700,E007300000}}
LOND1B;EN;ENCN;RW22;LONDU;RW22;{{N57445100,E007312300}}
LST2B;EN;ENCN;RW22;SOVIS;RW22;{{N58045300,E007300000}}
OSLO1A;EN;ENCN;RW04;OSLOX;RW04;{{N58352100,E008390600}}
OSLO1B;EN;ENCN;RW22;OSLOX;RW22;{{N58181462,E008133798},{N58352100,E008390600}}
RORA1A;EN;ENCN;RW04;RORAM;RW04;{{N57442418,E007580932},{N57390000,E007591000}}
RORA1B;EN;ENCN;RW22;RORAM;RW22;{{N57390000,E007591000}}
SOLS2A;EN;ENCN;RW04;SOLSI;RW04;{{N58204651,E007364234},{N58264000,E007300000}}
SOLS2B;EN;ENCN;RW22;SOLSI;RW22;{{N58264000,E007300000}}
SOXU1A;EN;ENCN;RW04;SOXUS;RW04;{{N58522200,E007300000}}
ANDO3B;EN;ENDU;RW28;ANDOR;RW28;{{N69060981,E018114028},{N69060981,E018114028},{N68542600,E017234800}}
BARVI3;EN;ENDU;RW28;BARVI;RW28;{{N69060981,E018114028},{N69060981,E018114028},{N69010900,E017061300}}
BDF4;EN;ENDU;RW10;BDF;RW10;{{N69025420,E018360049},{N68594642,E019054700},{N69035336,E018275812}}
LAVN3B;EN;ENDU;RW28;LAVNA;RW28;{{N69060981,E018114028},{N69060981,E018114028},{N68485200,E017424400}}
LAVN4A;EN;ENDU;RW10;LAVNA;RW10;{{N69025420,E018360049},{N68594642,E019054700},{N68534700,E017572000},{N68485200,E017424400}}
MOLON2;EN;ENDU;RW28;MOLON;RW28;{{N69060981,E018114028},{N69060981,E018114028},{N69180200,E018391700}}
RUSS4A;EN;ENDU;RW10;RUSST;RW10;{{N69025420,E018360049},{N68594642,E019054700},{N69093700,E019250500}}
SJA3;EN;ENDU;RW28;SJA;RW28;{{N69060981,E018114028},{N69094092,E017485709}}
TULA3B;EN;ENDU;RW28;TULDA;RW28;{{N69060981,E018114028},{N69060981,E018114028},{N69143700,E018580300}}
TULA4A;EN;ENDU;RW10;TULDA;RW10;{{N69025420,E018360049},{N68594642,E019054700},{N69143700,E018580300}}
ANDO1E;EN;ENEV;RW17;ANDOR;EVD;{{N68272630,E016405417},{N68272630,E016405417},{N68542600,E017234800}}
ANDO1F;EN;ENEV;RW35;ANDOR;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68542600,E017234800}}
BARV1F;EN;ENEV;RW35;BARVI;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N69010900,E017061300}}
EVAB1E;EN;ENEV;RW17;EVABO;EVD;{{N68272630,E016405417},{N68272630,E016405417},{N68050500,E016105200}}
EVAB1F;EN;ENEV;RW35;EVABO;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68050500,E016105200}}
EVAN1E;EN;ENEV;RW17;EVANI;EVD;{{N68272630,E016405417},{N68272630,E016405417},{N68573300,E016213600}}
EVAN1F;EN;ENEV;RW35;EVANI;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68573300,E016213600}}
EVD1F;EN;ENEV;RW35;EVD;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68272630,E016405417}}
KT1E;EN;ENEV;RW17;KT;EVD;{{N68272630,E016405417},{N68250843,E017175492}}
LAVN1E;EN;ENEV;RW17;LAVNA;EVD;{{N68272630,E016405417},{N68272630,E016405417},{N68485200,E017424400}}
LAVN1F;EN;ENEV;RW35;LAVNA;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68485200,E017424400}}
PIKO1E;EN;ENEV;RW17;PIKOX;EVD;{{N68272630,E016405417},{N68235381,E016072270},{N68192400,E015273600}}
PIKO1F;EN;ENEV;RW35;PIKOX;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68192400,E015273600}}
ULVA1E;EN;ENEV;RW17;ULVAK;EVD;{{N68272630,E016405417},{N68272630,E016405417},{N68070300,E015592200}}
ULVA1F;EN;ENEV;RW35;ULVAK;RW35;{{N68355505,E016402067},{N68355505,E016402067},{N68070300,E015592200}}
BBU5D;EN;ENGM;RW19R;BBU;GM412;{{N60105346,E011041825},{N60281837,E010201990},{N60281837,E010201990},{N60281837,E010201990},{N60105346,E011041825},{N60073900,E012304600},{N62000000,E011334500},{N60075837,E010543525},{N62000000,E012101900},{N60281837,E010201990}}
GOTU4A;EN;ENGM;RW01L;GOTUR;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60121546,E011311207},{N59540000,E011350000}}
GOTU4C;EN;ENGM;RW19L;GOTUR;GM411;{{N60093064,E011055220},{N60093064,E011055220},{N60044265,E011120767},{N59540000,E011350000}}
OPA2B;EN;ENGM;TOMBO;OPA;OPA;{{N60121546,E011311207},{N60121546,E011311207},{N60121546,E011311207},{N60121546,E011311207},{N60073900,E012304600},{N60130540,E011075627},{N59540000,E011350000},{N62000000,E011334500},{N62000000,E012101900},{N60121546,E011311207}}
OSVI2A;EN;ENGM;RW01L;OSVIG;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60225000,E010433600},{N61042800,E009235600}}
SKI3C;EN;ENGM;RW19L;SKI;GM411;{{N60093064,E011055220},{N60071951,E011043668},{N60040159,E011044358},{N60004490,E010582620},{N59111690,E009341304}}
SKI4A;EN;ENGM;RW01L;SKI;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N59435972,E010064485},{N59111690,E009341304}}
SOK4A;EN;ENGM;RW01L;SOK;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60141354,E009545500}}
SOK6D;EN;ENGM;RW19R;SOK;GM412;{{N60105346,E011041825},{N60105346,E011041825},{N60075837,E010543525},{N60121400,E010473000},{N60141354,E009545500}}
SOTI3C;EN;ENGM;RW19L;SOTIR;GM411;{{N60093064,E011055220},{N60071951,E011043668},{N60040159,E011044358},{N60004490,E010582620},{N59554504,E010160950},{N59193500,E007300000}}
SOTI4A;EN;ENGM;RW01L;SOTIR;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60141354,E009545500},{N60152000,E009192000},{N59193500,E007300000}}
SUTO4A;EN;ENGM;RW01L;SUTOK;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60073900,E012304600}}
SUTO4C;EN;ENGM;RW19L;SUTOK;GM411;{{N60093064,E011055220},{N60093064,E011055220},{N60044265,E011120767},{N60053488,E011262020},{N60121546,E011311207},{N60073900,E012304600}}
TOMB4A;EN;ENGM;RW01L;TOMBO;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60240000,E011200724},{N62000000,E011334500}}
TOMB4C;EN;ENGM;RW19L;TOMBO;GM411;{{N60093064,E011055220},{N60093064,E011055220},{N60044265,E011120767},{N60053488,E011262020},{N60121546,E011311207},{N60370500,E011493700},{N62000000,E011334500}}
TORG4A;EN;ENGM;RW01L;TORGA;RW01L;{{N60154916,E011065730},{N60172494,E011062105},{N60240000,E011200724},{N60425006,E011224113},{N62000000,E012101900}}
TORG4C;EN;ENGM;RW19L;TORGA;GM411;{{N60093064,E011055220},{N60093064,E011055220},{N60044265,E011120767},{N60053488,E011262020},{N60121546,E011311207},{N60370500,E011493700},{N62000000,E012101900}}
TRF4D;EN;ENGM;RW19R;TRF;GM412;{{N60105346,E011041825},{N59554504,E010160950},{N59554504,E010160950},{N59111690,E009341304},{N59250000,E011145700},{N60105346,E011041825},{N60030703,E010463610},{N59054000,E011492260},{N59554504,E010160950}}
KOSI2A;EN;ENHD;RW14;KOSIG;RW14;{{N59102200,E005330400}}
UTIR2B;EN;ENHD;RW32;UTIRA;RW32;{{N59310900,E004505500}}
BOLN1C;EN;ENKB;RW07;BOLNI;KB;{{N63070441,E007513923},{N62553500,E007113600}}
BOLN1D;EN;ENKB;RW25;BOLNI;RW25;{{N63050534,E007385229},{N62553500,E007113600}}
BOLS2L;EN;ENKB;RW25;BOLSI;RW25;{{N63050534,E007385229},{N62553400,E007113400}}
BOLS2M;EN;ENKB;RW07;BOLSI;KB;{{N63070441,E007513923},{N62553400,E007113400}}
INLA1C;EN;ENKB;RW07;INLAS;KB;{{N63070441,E007513923},{N62551700,E007582500},{N62481600,E008041100},{N62390500,E008113800}}
INLA1D;EN;ENKB;RW25;INLAS;RW25;{{N63050534,E007385229},{N62551700,E007582500},{N62481600,E008041100},{N62390500,E008113800}}
INLA1W;EN;ENKB;RW07;INLAS;RW07;{{N63075628,E007571752},{N62551700,E007582500},{N62481600,E008041100},{N62390500,E008113800}}
NILA2L;EN;ENKB;RW25;NILAS;RW25;{{N63050534,E007385229},{N62390500,E008113900}}
NILA2M;EN;ENKB;RW07;NILAS;KB;{{N63070441,E007513923},{N62390500,E008113900}}
TURS1C;EN;ENKB;RW07;TURSI;KB;{{N63070441,E007513923},{N63133900,E008345300}}
TURS1D;EN;ENKB;RW25;TURSI;RW25;{{N63133900,E008345300}}
TURS1W;EN;ENKB;RW07;TURSI;KVB19;{{N63071447,E007524999},{N63074085,E008124998},{N63133900,E008345300}}
TURS2L;EN;ENKB;RW25;TURSI;RW25;{{N63133900,E008345300}}
TURS2M;EN;ENKB;RW07;TURSI;KB;{{N63070441,E007513923},{N63133900,E008345300}}
VAGS1C;EN;ENKB;RW07;VAGSI;KB;{{N63070441,E007513923},{N62484000,E007300000}}
VAGS1D;EN;ENKB;RW25;VAGSI;RW25;{{N63050534,E007385229},{N62484000,E007300000}}
VAGS1W;EN;ENKB;RW07;VAGSI;RW07;{{N63075628,E007571752},{N62484000,E007300000}}
VAGS2L;EN;ENKB;RW25;VAGSI;RW25;{{N63050534,E007385229},{N62484000,E007300000}}
VAGS2M;EN;ENKB;RW07;VAGSI;KB;{{N63070441,E007513923},{N63050534,E007385229},{N62484000,E007300000}}
ABLA1M;EN;ENML;RW25;ABLAX;RW25;{{N62274567,E007092201},{N62101600,E006522900}}
ABLA1P;EN;ENML;RW07;ABLAX;RW07;{{N62413775,E007193206},{N62413775,E007193206},{N62274567,E007092201},{N62101600,E006522900}}
ARKU1M;EN;ENML;RW25;ARKUD;RW25;{{N62433178,E007083534},{N62433178,E007083534},{N62551700,E007582500}}
ARKU1P;EN;ENML;RW07;ARKUD;RW07;{{N62413775,E007193206},{N62411623,E007085703},{N62411623,E007085703},{N62551700,E007582500}}
KVB1M;EN;ENML;RW25;KVB;RW25;{{N62433178,E007083534},{N62433178,E007083534},{N63070528,E007483794}}
KVB1P;EN;ENML;RW07;KVB;RW07;{{N62413775,E007193206},{N62411623,E007085703},{N62411623,E007085703},{N63070528,E007483794}}
TOND1M;EN;ENML;RW25;TONDI;RW25;{{N62272100,E007311100},{N62000000,E008422800}}
TOND1P;EN;ENML;RW07;TONDI;RW07;{{N62413775,E007193206},{N62413775,E007193206},{N62272100,E007311100},{N62000000,E008422800}}
UTIG1M;EN;ENML;RW25;UTIGO;RW25;{{N62433178,E007083534},{N62433178,E007083534},{N62585800,E007002200}}
UTIG1P;EN;ENML;RW07;UTIGO;RW07;{{N62413775,E007193206},{N62411623,E007085703},{N62411623,E007085703},{N62585800,E007002200}}
VIG1M;EN;ENML;RW25;VIG;RW25;{{N62404742,E006544424},{N62330745,E006020391}}
VIG1P;EN;ENML;RW07;VIG;RW07;{{N62413775,E007193206},{N62404742,E006544424},{N62330745,E006020391}}
BERE1C;EN;ENOL;RW15;BERET;ORL03;{{N63403585,E009374317},{N63432204,E009344001},{N63203200,E008265800}}
BERE1D;EN;ENOL;RW33;BERET;UTH;{{N63432204,E009344001},{N63203200,E008265800}}
LENS1C;EN;ENOL;RW15;LENSI;ORL03;{{N63403585,E009374317},{N63300500,E009485500}}
LENS1D;EN;ENOL;RW33;LENSI;UTH;{{N63432204,E009344001},{N63300500,E009485500}}
OSBO1C;EN;ENOL;RW15;OSBON;ORL03;{{N63403585,E009374317},{N63432204,E009344001},{N64213400,E010295600}}
OSBO1D;EN;ENOL;RW33;OSBON;UTH;{{N63432204,E009344001},{N63432204,E009344001},{N63432204,E009344001},{N64213400,E010295600}}
TILV1C;EN;ENOL;RW15;TILVA;ORL03;{{N63403585,E009374317},{N63432204,E009344001},{N63370400,E010172200}}
TILV1D;EN;ENOL;RW33;TILVA;UTH;{{N63432204,E009344001},{N63432204,E009344001},{N63432204,E009344001},{N63370400,E010172200}}
SELB4B;EN;ENSO;RW33;SELBI;RW33;{{N59594600,E005042400}}
SORO2A;EN;ENSO;RW15;SOROX;RW15;{{N59351600,E005382500},{N59400946,E005531986},{N59493800,E007300000}}
SORO2B;EN;ENSO;RW33;SOROX;RW33;{{N59594600,E005042400},{N60025670,E005180195},{N59493800,E007300000}}
VIND4A;EN;ENSO;RW15;VINDA;RW15;{{N59351600,E005382500}}
BNN2A;EN;ENST;RW03;BNN;RW03;{{N66033729,E012330104},{N65573753,E012281001},{N65272539,E012125163}}
DORE2A;EN;ENST;RW03;DOREP;RW03;{{N65590273,E012291877},{N65515300,E012081300}}
DORE3B;EN;ENST;RW21;DOREP;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N65515300,E012081300}}
GILK1A;EN;ENST;RW03;GILKO;RW03;{{N66033729,E012330104},{N66164000,E013355600}}
GILK1B;EN;ENST;RW21;GILKO;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N66033729,E012330104},{N66164000,E013355600}}
GODA2A;EN;ENST;RW03;GODAG;RW03;{{N65590273,E012291877},{N65573600,E012034400}}
GODA3B;EN;ENST;RW21;GODAG;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N65573600,E012034400}}
LR2A;EN;ENST;RW03;LR;RW03;{{N65590273,E012291877},{N65515300,E012081300},{N65370308,E013173982}}
LR3B;EN;ENST;RW21;LR;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N65515300,E012081300},{N65370308,E013173982}}
PISU1A;EN;ENST;RW03;PISUX;RW03;{{N66033729,E012330104},{N66540400,E013483800}}
PISU1B;EN;ENST;RW21;PISUX;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N66033729,E012330104},{N66540400,E013483800}}
STT2A;EN;ENST;RW03;STT;RW03;{{N66033729,E012330104},{N66553732,E013261895}}
STT3B;EN;ENST;RW21;STT;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N66033729,E012330104},{N66553732,E013261895}}
ULV2A;EN;ENST;RW03;ULV;RW03;{{N65590273,E012291877},{N65515300,E012081300},{N65380266,E012091038}}
ULV3B;EN;ENST;RW21;ULV;ST411;{{N65564142,E012271937},{N65564142,E012271937},{N65515300,E012081300},{N65380266,E012091038}}
AND2A;EN;ENTC;RW01;AND;RW01;{{N69430792,E018563325},{N69430792,E018563325},{N69421004,E018594831},{N69171618,E016082897}}
AND2B;EN;ENTC;RW19;AND;RW19;{{N69344750,E018034120},{N69171618,E016082897}}
BDF2B;EN;ENTC;RW19;BDF;RW19;{{N69301874,E018491811},{N69035336,E018275812}}
HTK2A;EN;ENTC;RW01;HTK;RW01;{{N69435391,E018585850},{N69453285,E019295746},{N69553498,E021001090}}
HTK2B;EN;ENTC;RW19;HTK;RW19;{{N69454800,E019312400},{N69553498,E021001090}}
HTK2Y;EN;ENTC;RW19;HTK;RW19;{{N69421004,E018594831},{N69553498,E021001090}}
LENS1A;EN;ENTC;RW01;LENSA;RW01;{{N69435391,E018585850},{N69435900,E020000000}}
LENS1B;EN;ENTC;RW19;LENSA;RW19;{{N69425400,E019231800},{N69435900,E020000000}}
LOMV2A;EN;ENTC;RW01;LOMVI;RW01;{{N69484164,E019001110},{N70050000,E019000800}}
LOMV2B;EN;ENTC;RW19;LOMVI;RW19;{{N69484164,E019001110},{N70050000,E019000800}}
MLV2B;EN;ENTC;RW19;MLV;RW19;{{N68594642,E019054700}}
SJA2A;EN;ENTC;RW01;SJA;RW01;{{N69430792,E018563325},{N69430792,E018563325},{N69421004,E018594831},{N69094092,E017485709}}
SJA2B;EN;ENTC;RW19;SJA;RW19;{{N69094092,E017485709}}
SUNU1A;EN;ENTC;RW01;SUNUP;RW01;{{N69435391,E018585850},{N69471323,E019243477},{N70233600,E022253800}}
ARTO2S;EN;ENTO;RW18;ARTOR;RW18;{{N59061824,E010153360},{N58200400,E010085600}}
ARTO2T;EN;ENTO;RW36;ARTOR;RW36;{{N59154296,E010152534},{N59061824,E010153360},{N58200400,E010085600}}
RISE3S;EN;ENTO;RW18;RISER;RW18;{{N59061824,E010153360},{N59061824,E010153360},{N58541400,E009074400}}
RISE3T;EN;ENTO;RW36;RISER;RW36;{{N59154296,E010152534},{N59100880,E010153336},{N58541400,E009074400}}
SKI1S;EN;ENTO;RW18;SKI;RW18;{{N59061824,E010153360},{N59111690,E009341304}}
SKI1T;EN;ENTO;RW36;SKI;RW36;{{N59154296,E010152534},{N59111690,E009341304}}
TIVO2S;EN;ENTO;RW18;TIVOL;RW18;{{N59061824,E010153360},{N58534100,E010390700}}
TIVO2T;EN;ENTO;RW36;TIVOL;RW36;{{N59154296,E010152534},{N59435972,E010064485},{N58534100,E010390700}}
TRF2S;EN;ENTO;RW18;TRF;RW18;{{N59061824,E010153360},{N59314119,E009531241},{N59554504,E010160950}}
TRF2T;EN;ENTO;RW36;TRF;RW36;{{N59154296,E010152534},{N59353582,E009565513},{N59554504,E010160950}}
BNN2A;EN;ENVA;RW09;BNN;RW09;{{N63273198,E011043184},{N63273198,E011043184},{N63443300,E011272500},{N64082600,E011372800},{N65272539,E012125163}}
BNN2W;EN;ENVA;RW09;BNN;RW09;{{N63273198,E011043184},{N63273228,E011202638},{N64082600,E011372800},{N65272539,E012125163}}
GEVL1W;EN;ENVA;RW09;GEVLI;RW09;{{N63273198,E011043184},{N63273198,E011043184},{N63313313,E010532427},{N63054600,E010015400}}
GEVL2A;EN;ENVA;RW09;GEVLI;RW09;{{N63273198,E011043184},{N63273228,E011202638},{N63192826,E010291454},{N63054600,E010015400}}
GEVL2B;EN;ENVA;RW27;GEVLI;RW27;{{N63250842,E010160793},{N63054600,E010015400}}
NAMO2U;EN;ENVA;RW27;NAMOX;RW27;{{N63250842,E010160793},{N63412100,E010375500},{N64111000,E011191600}}
NAMO3B;EN;ENVA;RW27;NAMOX;RW27;{{N63313313,E010532427},{N64111000,E011191600}}
NORP2A;EN;ENVA;RW09;NORPO;RW09;{{N63273198,E011043184},{N63273228,E011202638},{N63000000,E011142400}}
NORP2B;EN;ENVA;RW27;NORPO;RW27;{{N63000000,E011142400}}
ROSE2A;EN;ENVA;RW09;ROSEB;RW09;{{N63273198,E011043184},{N63273198,E011043184},{N63313313,E010532427},{N63225100,E009433500}}
