444;EN;LST;LISTA;N58060536;E006373290;;;W0022;WGE;ENOR;ENOR;;;00048;10930;347;;2
450;EG;LUK;LEUCHARS;N56222400;W002514200;;;W0052;WGE;EGPX;EGPX;;;00072;11050;291;;2
454;EH;LWD;LEEUWARDEN;N53132509;E005450652;;;W0021;WGE;EHAA;EHAA;;;00022;11470;000;;3
455;LF;LXI;LUXEUIL SAINT SAUVEUR;N47465940;E006212560;;;W0009;WGE;LFFF;LFFF;;;00925;10820;375;;0
457;EG;LYE;LYNEHAM;N51303646;W001593214;;;W0033;WGE;EGTT;EGTT;;;00463;10980;281;;2
462;EG;MAM;MARHAM;N52385014;E000331175;;;W0026;WGE;EGTT;EGTT;;;00075;10870;000;;2
471;LF;MDM;MONT DE MARSAN;N43543580;W000301580;;;W0024;WGE;LFBB;LFFF;;;00256;10870;588;;1
473;ED;MEM;MEMMINGEN;N47592700;E010145640;;;E0008;WGE;EDMM;EDUU;;;02100;11720;;;0
477;LF;MET;METZ FRESCATY;N49040100;E006074580;;;W0011;WGE;LFFF;LFFF;;;00663;10800;000;;2
485;LG;MIK;THESALONIKI/MAKEDONIA;N40272220;E022592100;;;E0020;;LGGG;LGGG;;;00100;11740;;;0
491;EG;MLD;MILDENHALL;N52214800;E000291740;;;W0030;WGE;EGTT;EGTT;;;00063;11590;000;;2
498;LI;MNL;AMENDOLA;N41321600;E015423600;;;E0011;WGE;LIBB;LIBB;;;00057;11525;;;1
501;LP;MOJ;MONTIJO;N38423150;W009015960;;;W0045;WGE;LPPC;LPPC;;;00066;11000;;;0
502;EN;MOS;MOSJOEN TACAN;N65523964;E013183073;;;E0009;WGE;ENOR;ENOR;;;02105;11390;586;;2
513;LP;MTR;MONTE REAL AB;N39495741;W008532452;;;W0046;WGE;LPPC;LPPC;;;00263;10960;;;2
517;LF;NAY;NANCY-OCHEY;N48350110;E005570660;;;W0013;WGE;LFEE;LFFF;;;01115;11680;215;;0
518;ED;NDO;NORDHOLZ;N53460840;E008391260;;;E0003;WGE;EDWW;EDVV;;;00120;11710;331;;1
520;ED;NEG;NEUBRANDENBURG;N53361680;E013183120;;;E0011;WGE;EDBB;EDBB;;;00270;10805;260;;1
522;ED;NEU;NEUBURG;N48424500;E011123960;;;E0010;WGE;EDMM;EDUU;;;01296;10890;;;0
529;LF;NIM;NIMES GARONS;N43444393;E004251305;;;W0012;WGE;LFMM;LFFF;;;00328;11160;000;;1
538;LI;NSY;SIGONELLA;N37235400;E014550600;;;E0010;WGE;LIRR;LIRR;;;00102;11120;265;;2
544;LF;OAN;ORLEANS BRICY;N47592200;E001453450;;;W0020;WGE;LFFF;LFFF;;;00436;11640;248;;1
