2821;LP;3825N;N38 00 W025 00;N38000000;W025000000;ENRT;;W0107;WGE;LPPO;LPPO;;;;IF;
2822;LP;3830N;N38 00 W030 00;N38000000;W030000000;ENRT;;W0132;WGE;LPPO;LPPO;;;;RF;
2823;LP;3835N;N38 00 W035 00;N38000000;W035000000;ENRT;;W0144;WGE;LPPO;LPPO;;;;IF;
2824;LP;3840N;N38 00 W040 00;N38000000;W040000000;ENRT;;W0170;WGE;LPPO;LPPO;;;;RF;
2825;LF;38BSN;ELVES-209/BSN D38.0;N49353602;E003481649;ENRT;;W0019;WGE;LFFF;LFFF;;;;I;
2826;LF;38PGS;PGS-220/D38.0;N48294150;E002025900;ENRT;;W0023;WGE;LFFF;LFFF;;;;I;
2827;LE;3900E;N39 00 E000 00;N39000000;E000000000;ENRT;;W0017;WGE;LECM;LECM;;;;RF;
2828;LP;3910N;N39 00 W010 00;N39000000;W010000000;ENRT;;W0053;WGE;LPPC;LPPC;;;;RF;
2829;LP;3920N;N39 00 W020 00;N39000000;W020000000;ENRT;;W0093;WGE;LPPO;LPPO;;;;RF;
2830;LP;3925N;N39 00 W025 00;N39000000;W025000000;ENRT;;W0108;WGE;LPPO;LPPO;;;;IF;
2831;LP;3930N;N39 00 W030 00;N39000000;W030000000;ENRT;;W0133;WGE;LPPO;LPPO;;;;RF;
2832;LP;3935N;N39 00 W035 00;N39000000;W035000000;ENRT;;W0145;WGE;LPPO;LPPO;;;;IF;
2833;LE;3A04E;N38 40 E004 10;N38400000;E004100000;ENRT;;W0011;WGE;LECB;LECB;;;;RF;
2834;LP;3A35N;N32 32 W035 00;N32320000;W035000000;ENRT;;W0145;WGE;LPPO;LPPO;;;;RF;
2835;LP;3B16N;N32 46 W016 33;N32462400;W016334200;ENRT;;W0073;WGE;LPPC;LPPC;;;;RF;
2836;LP;3B18N;N35 00 W018 30;N35000000;W018300000;ENRT;;W0082;WGE;LPPO;LPPO;;;;RF;
2837;LF;3NM;DOPAP-R-161/D3;N48391994;E002161226;ENRT;;W0016;WGE;LFFF;LFFF;;;;I D;
2838;LE;4000E;N40 00 E000 00;N40000000;E000000000;ENRT;;W0017;WGE;LECM;LECM;;;;RF;
2839;LP;4010N;N40 00 W010 00;N40000000;W010000000;ENRT;;W0054;WGE;LPPC;LPPC;;;;RF;
2840;LP;4014N;N40 00 W014 00;N40000000;W014000000;ENRT;;W0074;WGE;LPPO;LPPO;;;;RF;
2841;LP;4016N;N40 00 W016 00;N40000000;W016000000;ENRT;;W0082;WGE;LPPO;LPPO;;;;RF;B
2842;LP;4017N;N40 00 W017 00;N40000000;W017000000;ENRT;;W0086;WGE;LPPO;LPPO;;;;RF;
2843;LP;4020N;N40 00 W020 00;N40000000;W020000000;ENRT;;W0094;WGE;LPPO;LPPO;;;;RF;
2844;LP;4025N;N40 00 W025 00;N40000000;W025000000;ENRT;;W0119;WGE;LPPO;LPPO;;;;RF;
2845;LP;4030N;N40 00 W030 00;N40000000;W030000000;ENRT;;W0135;WGE;LPPO;LPPO;;;;RF;
2846;LP;4035N;N40 00 W035 00;N40000000;W035000000;ENRT;;W0157;WGE;LPPO;LPPO;;;;RF;
2847;LE;4100E;N41 00 E000 00;N41000000;E000000000;ENRT;;W0018;WGE;LECM;LECM;;;;RF;
2848;LP;4110N;N41 00 W010 00;N41000000;W010000000;ENRT;;W0055;WGE;LPPC;LPPC;;;;RF;
2849;LP;4120N;N41 00 W020 00;N41000000;W020000000;ENRT;;W0096;WGE;LPPO;LPPO;;;;RF;
2850;LP;4125N;N41 00 W025 00;N41000000;W025000000;ENRT;;W0110;WGE;LPPO;LPPO;;;;IF;
2851;LP;4130N;N41 00 W030 00;N41000000;W030000000;ENRT;;W0139;WGE;LPPO;LPPO;;;;RF;
2852;LP;4135N;N41 00 W035 00;N41000000;W035000000;ENRT;;W0149;WGE;LPPO;LPPO;;;;IF;
2853;LE;4200E;N42 00 E000 00;N42000000;E000000000;ENRT;;W0018;WGE;LECM;LECM;;;;RF;
2854;LE;4210N;N42 00 W010 00;N42000000;W010000000;ENRT;;W0056;WGE;LECM;LECM;;;;RF;
2855;LP;4216N;N42 00 W016 00;N42000000;W016000000;ENRT;;W0085;WGE;LPPO;LPPO;;;;RF;
2856;LP;4220N;N42 00 W020 00;N42000000;W020000000;ENRT;;W0097;WGE;LPPO;LPPO;;;;RF;
2857;LP;4225N;N42 00 W025 00;N42000000;W025000000;ENRT;;W0112;WGE;LPPO;LPPO;;;;IF;
2858;LP;4230N;N42 00 W030 00;N42000000;W030000000;ENRT;;W0138;WGE;LPPO;LPPO;;;;RF;
2859;LP;4235N;N42 00 W035 00;N42000000;W035000000;ENRT;;W0151;WGE;LPPO;LPPO;;;;IF;
2860;LF;42LSE;MILPA-OTKOL/LSE D42.0;N46154289;E005455979;ENRT;;W0001;WGE;LFMM;LFFF;;;;I E;
9823;EF;VEPIS;VEPIS;N61464700;E028350300;ENRT;;E0087;WGE;EFES;EFES;;;;R F;RB
2861;LE;4300E;N43 00 E000 00;N43000000;E000000000;ENRT;;W0019;WGE;LECM;LECM;;;;RF;
2862;LE;4310N;N43 00 W010 00;N43000000;W010000000;ENRT;;W0062;WGE;LECM;LECM;;;;RF;
2863;LP;4315N;N43 00 W015 00;N43000000;W015000000;ENRT;;W0078;WGE;LPPC;LPPC;;;;RF;
2864;LP;4320N;N43 00 W020 00;N43000000;W020000000;ENRT;;W0099;WGE;LPPO;LPPO;;;;RF;
