1427;LE;BAG;BAGUR;N41570545;E003121107;;;W0014;WGE;LECB;LECB;;;;03190;H    
1428;LE;BAI;BAILEN;N38090544;W003374502;;;W0031;WGE;LECM;LECM;;;;04180;H L  
1454;LE;BJZ;BADAJOZ;N38485970;W006415350;;;W0039;WGE;LECM;LECM;;;;02980;HO   
1429;ED;BAZ;BAYREUTH;N49572478;E011335457;;;E0015;WGE;EDMM;EDUU;C;04DEC081400;;04300;H M  
1430;EG;BBA;BENBECULA;N57283425;W007220931;;;W0070;WGE;EGPX;EGPX;;;;04010;H    
1431;EB;BC;BRASSCHAT;N51221307;E004292742;;;W0010;WGE;EBBU;EBUR;;;;03655;H M  
1432;LR;BC;BACAU;N46284100;E026553900;;;E0045;WGE;LRBB;LRBB;;;;04260;H M N
1433;ES;BCS;BACCHUS;N62341340;E017024280;;;E0034;WGE;ESAA;ESAA;;;;04160;H M N
1434;LF;BD;BORDEAUX;N44560680;W000334410;;;W0025;WGE;LFBB;LFFF;;;;03930;H L N
1435;EG;BE;BECCLES HELIPORT;N52255800;E001371600;;;W0035;WGE;EGTT;EGTT;;;;03570;H L N
1436;LF;BE;BORDEAUX;N44521410;W000235210;;;W0020;WGE;LFBB;LFFF;;;;03180;H L  
1437;LS;BER;BERN;N46535682;E007303774;;;E0003;WGE;LSAS;LSAS;;;;03350;H L  
1438;ED;BET;RHEINE-BENTLAGE;N52171620;E007230780;;;W0003;WGE;EDLL;EDVV;;;;04015;H M N
1439;EG;BFD;ISLE OF SKYE;N57151200;W005493000;;;W0068;WGE;EGPX;EGPX;;;;03900;H   N
1440;ES;BG;BERGA;N59041760;E018123630;;;E0031;WGE;ESAA;ESAA;;;;04070;H M N
1441;LF;BGC;BERGERAC;N44491010;E000370940;;;W0025;WGE;LFBB;LFFF;;;;03740;H L N
1442;LF;BGP;BREST;N48264090;W004245940;;;W0040;WGE;LFRR;LFFF;;;;03870;H L  
1443;LB;BGS;BURGAS;N42373700;E027352200;;;E0033;;LBWR;LBWR;;;;03560;HO  A
1444;LE;BGS;BURGOS;N42212927;W003380738;;;W0034;WGE;LECM;LECM;;;;03570;H   N
1445;EN;BGU;BERGERUD;N59505530;E011154400;;;E0000;WGE;ENOR;ENOR;;;;03160;H   N
1446;LF;BGW;PARIS LE BOURGET;N48562060;E002165120;;;W0024;WGE;LFFF;LFFF;;;;03340;H L N
1447;EG;BHX;BIRMINGHAM;N52271637;W001450859;;;W0041;WGE;EGTT;EGTT;;;;04060;H M N
1448;EG;BIA;BOURNEMOUTH;N50463962;W001503295;;;W0030;WGE;EGTT;EGTT;;;;03390;H L  
1449;LF;BIC;BRIARE;N47363970;E002465830;;;W0022;WGE;LFFF;LFFF;;;;04050;H M N
1450;BI;BJ;BJARGTANGAR;N65302200;W024321600;;;W0214;WGE;BIRD;BIRD;;;;04050;H   N
1451;LE;BJ;MADRID;N40264868;W003334519;;;W0032;WGE;LECM;LECM;;;;03080;HML A
1452;LP;BJA;BEJA;N38093340;W007551820;;;W0037;WGE;LPPC;LPPC;;;;03760;H    
1453;EN;BJO;BJORNOYA;N74300698;E019051018;;;E0048;WGE;ENOB;ENOB;;;;03160;H   N
1455;LH;BKS;BEKES;N46474224;E021044099;;;E0028;WGE;LHCC;LHCC;;;;03740;H   N
1456;BI;BL;BLOENDUOS;N65411100;W020173300;;;W0189;WGE;BIRD;BIRD;;;;03510;H    
1457;EN;BL;BRINGELAND;N61232394;E005453763;;;W0029;WGE;ENOR;ENOR;;;;03740;H   N
1458;ES;BL;BORLANGE;N60281320;E015242990;;;E0020;WGE;ESAA;ESAA;;;;04210;H L  
1459;LH;BL;BUDAPEST;N47292035;E019111032;;;E0025;WGE;LHCC;LHCC;;;;03350;HO  A
1460;LU;BL;BALTI LOM RWY33;N47475259;E027485039;;;E0040;;LUUU;LUUU;;;;07900;H HW 
1461;LI;BLA;BIELLA;N45274390;E008072410;;;W0002;WGE;LIMM;LIMM;;;;03500;H M  
1462;LF;BLB;BLOIS LE BREUIL;N47402620;E001120890;;;W0020;WGE;LFFF;LFFF;;;;03970;H LW 
1463;LY;BLC;BLACE;N43144820;E021214380;;;E0032;WGE;LYBA;LYBA;;;;03770;H    
1464;EG;BLK;BLACKBUSHE;N51192384;W000504126;;;W0030;WGE;EGTT;EGTT;;;;03280;H L  
1465;LQ;BLK;BANJA LUKA;N45054200;E017154800;;;E0020;WGE;LQSB;LQSB;;;;03400;H   N
1466;LE;BLO;BILBAO;N43192605;W002582462;;;W0029;WGE;LECM;LECM;;;;03700;H   N
1467;LR;BMR;BAIA MARE;N47401638;E023204549;;;E0033;WGE;LRBB;LRBB;;;;04040;H    
1468;EN;BN;BIRKELAND;N58181462;E008133798;;;W0013;WGE;ENOR;ENOR;;;;03450;H   N
