ENRT;;00;DOL;LJ;D; ;3400;L;;10;04600;;;;;DOLSKO;VHF;196
ENRT;;00;DOREP;EN;E;A;0550;L;;10;03000;;;;;DOREP;WAYPOINT;4790
ENRT;;00;DORIN;LI;E;A;3230;L;;10;06000;;;;;;WAYPOINT;4792
ENRT;;00;DPE;LF;D; ;1780;R;;15;FL150;FL240;240;;;DIEPPE;VHF;200
ENRT;;00;DRA;EN;D; ;0600;L;035;;04000;;;;;DRAMMEN;VHF;201
ENRT;;00;DRW;ED;D;B;0670;L;;10;03000;;;;;DREWITZ;NDB;1630
ENRT;;00;DUB;EI;D; ;1630;R;;10;03000;05000;;;;DUBLIN;VHF;205
ENRT;;00;EKRIT;LS;E;A;0670;R;060;;06000;;;;;EKRIT;WAYPOINT;4871
ENRT;;00;EKROT;LK;E;A;3590;L;;10;;;;;;EKROT;WAYPOINT;4874
ENRT;;00;EKSIN;EN;E;A;2200;R;;10;FL100;;;;;EKSIN;WAYPOINT;4876
ENRT;;00;ELB;LI;D; ;1520;R;035;;07000;;;;;ELBA;VHF;216
ENRT;;00;EMPIT;ED;E;A;2620;L;;10;04000;;;;;EMPIT;WAYPOINT;4943
ENRT;;00;EN;ES;D;B;0290;R;;10;02900;;;;;OREBRO;NDB;1668
ENRT;;00;ENS;EI;D;B;1070;L;;10;03500;;;;;ENNIS;NDB;1669
ENRT;;00;EPM;EG;D;B;3320;L;035;;07000;;;;;EPSOM;NDB;1671
ENRT;;00;ES;BI;D;B;0400;L;;10;05000;;;;;EGILSSTADIR;NDB;1674
ENRT;;00;ESINO;LI;E;A;0390;R;035;;06000;;;;;ESINO;WAYPOINT;5022
ENRT;;00;ESPIG;LF;E;A;3070;L;050;;02000;FL080;220;;;ESPIG;WAYPOINT;5029
ENRT;;00;ETATU;LK;E;A;1650;R;;10;05000;;;;;;WAYPOINT;5041
ENRT;;00;ETUGO;LP;E;A;0950;R;130;;FL150;FL280;;;;ETUGO;WAYPOINT;5057
ENRT;;00;EVANA;LK;E;A;2020;L;;10;05500;;;;;;WAYPOINT;5060
ENRT;;00;EX;EG;D;B;1100;L;;10;02100;;;;;EXETER;NDB;1678
ENRT;;00;FENIK;EG;E;A;3380;R;035;;FL070;;;;;FENIK;WAYPOINT;5102
ENRT;;00;FLO;EB;D; ;3100;R;;10;FL060;FL140;;;;FLORA;VHF;243
ENRT;;00;FLR;EN;D;B;2700;R;;10;05000;;;;;FLORNES;NDB;1698
ENRT;;00;FLV;EN;D;B;0260;L;;10;04000;;230;;;FLEINVAER;NDB;1699
ENRT;;00;FNO;EN;D;B;1400;R;;10;02000;;;;;FOYNO;NDB;1704
ENRT;;00;FOR;EN;D;B;2280;R;;10;03000;;;;;FORSOL HAMMERFEST;NDB;1706
ENRT;;00;FOR;LI;D;B;1160;R;;10;03000;;;;;FORLI;NDB;1707
ENRT;;00;FOY;EI;D;B;0590;L;;10;03500;;;;;FOYNES;NDB;1709
ENRT;;00;FRS;LI;D;B;3080;R;;10;FL100;;;;;FROSINONE;NDB;1713
ENRT;;00;FSK;EN;D;B;2690;L;;10;06000;;230;;;FAUSKE;NDB;1716
ENRT;;00;GALDA;LF;E;A;1660;R;;10;05000;;;;;GALDA;WAYPOINT;5222
ENRT;;00;GAR;EI;D;B;1150;R;;10;04500;FL140;;;;GARRISTOWN;NDB;1730
ENRT;;00;GAR;LG;D; ;1350;R;035;;04500;;;;;GARITSA;VHF;262
ENRT;;00;GBG;LO;D;B;1970;L;035;;03500;;;;;GLEICHENBERG;NDB;1732
ENRT;;00;GIGNA;LF;E;A;1050;L;050;;05000;FL110;220;;;GIGNA;WAYPOINT;5342
ENRT;;00;GILIO;LI;E;A;3150;L;035;;07000;;;;;GILIO;WAYPOINT;5355
