114;LI;CAG;CAGLIARI;N39145640;E009031470;;;E0002;WGE;LIRR;LIRR;;;00012;CAG;N39145590;E009031430;11340;400;;0
117;LI;CAR;CARBONARA;N39064140;E009302870;;;E0003;WGE;LIRR;LIRR;;;00167;CAR;N39064060;E009303180;11510;000;;2
118;LP;CAS;CASCAIS;N38445400;W009214300;;;W0042;WGE;LPPC;LPPC;;;00350;CAS;N38445400;W009214300;11430;548;;2
119;LI;CAT;CATANIA;N37272223;E014580950;;;E0014;WGE;LIRR;LIRR;;;00217;CAT;N37272223;E014580950;11210;000;;2
120;LF;CAV;CHALONS VATRY;N48465190;E004084900;;;W0015;WGE;LFFF;LFFF;;;00561;CAV;N48465190;E004084900;11165;;;0
123;LF;CBY;CHAMBERY;N45525480;E005452630;;;W0000;WGE;LFMM;LFFF;;;04783;CBY;N45525480;E005452630;11540;323;;2
124;LE;CCS;CACERES;N39312824;W006260506;;;W0042;WGE;LECM;LECM;;;01378;CCS;N39312841;W006260486;11420;362;;2
125;EK;CDA;CODAN;N55000540;E012224516;;;E0020;WGE;EKDK;EKDK;;;00090;CDA;N55000540;E012224516;11490;324;;2
126;LE;CDB;CORDOBA;N37504533;W004504194;;;W0031;WGE;LECM;LECM;;;00325;CDB;N37504517;W004504167;11240;347;;0
130;LE;CDP;CAPDEPERA;N39415166;E003260373;;;W0010;WGE;LECB;LECB;;;00778;CDP;N39415113;E003260262;11290;491;;0
133;LF;CFA;CLERMONT FERRAND AUVERGNE;N45471490;E003113193;;;W0010;WGE;LFMM;LFFF;;;01093;CFA;N45471490;E003113193;11435;000;;2
136;LF;CGN;CHARLES DE GAULLE NORD;N49011170;E002300040;;;W0020;WGE;LFFF;LFFF;;;00392;CGN;N49011170;E002300040;11535;;;2
137;LF;CGS;CAGNES SUR MER;N43384290;E007084530;;;E0000;WGE;LFMM;LFFF;;;00000;CGS;N43384290;E007084530;10920;329;;1
140;LI;CHI;CHIOGGIA;N45041640;E012165319;;;E0010;WGE;LIMM;LIMM;;;00034;CHI;N45041640;E012165319;11410;420;;2
141;LU;CHN;CHISINAU;N46553748;E028535900;;;E0040;;LUUU;LUUU;;;00418;CHN;N46553748;E028535900;11370;523;;2
142;LF;CHW;CHARTRES LA LOUPE;N48284800;E000591340;;;W0030;WGE;LFFF;LFFF;;;00732;CHW;N48284800;E000591340;11520;408;;2
144;LE;CJN;CASTEJON;N40221906;W002324059;;;W0024;WGE;LECM;LECM;;;03501;CJN;N40221859;W002324079;11560;;;2
145;LR;CLJ;CLUJ;N46480043;E023471411;;;E0032;WGE;LRBB;LRBB;;;01673;CLJ;N46480043;E023471411;11120;416;;3
146;LF;CLM;COULOMMIERS;N48504070;E003004990;;;W0020;WGE;LFFF;LFFF;;;00486;CLM;N48504070;E003004990;11290;451;;2
147;EG;CLN;CLACTON;N51505450;E001085132;;;W0021;WGE;EGTT;EGTT;;;00100;CLN;N51505450;E001085132;11455;445;;2
149;LE;CLS;CALLES;N39422581;W000591074;;;W0020;WGE;LECB;LECB;;;01839;CLS;N39422599;W000591116;11755;;;2
150;LE;CMA;CALAMOCHA;N40520226;W001175299;;;W0020;WGE;LECM;LECM;;;03117;CMA;N40520205;W001175270;11600;200;;1
152;LI;CMP;CAMPAGNANO;N42072572;E012225329;;;E0011;WGE;LIRR;LIRR;;;01442;CMP;N42072572;E012225329;11140;397;;0
153;LF;CNA;COGNAC CHATEAUBERNARD;N45393440;W000184190;;;W0019;WGE;LFBB;LFFF;;;00135;CNA;N45393440;W000184190;11465;442;;2
154;LR;CND;CONSTANTA;N44174005;E028284629;;;E0042;WGE;LRBB;LRBB;;;00381;CND;N44174005;E028284629;11270;489;;3
156;LE;CNR;COLMENAR VIEJO;N40384552;W003440905;;;W0032;WGE;LECM;LECM;;;02690;CNR;N40384576;W003440849;11730;312;;2
158;EB;COA;COSTA;N51205283;E003211918;;;W0021;WGE;EBBU;EBUR;;;00030;COA;N51205283;E003211918;11005;311;;2
160;EI;CON;CONNAUGHT;N53544688;W008490431;;;W0072;WGE;EISN;EISN;;;00700;CON;N53544688;W008490431;11740;503;;2
161;LF;CPE;COMPIEGNE MARGNY;N49255800;E002475770;;;W0017;WGE;LFFF;LFFF;;;00000;CPE;N49255800;E002475770;10965;392;;1
162;EG;CPT;COMPTON;N51292966;W001131089;;;W0029;WGE;EGTT;EGTT;;;00498;CPT;N51292966;W001131089;11435;385;;2
163;EI;CRK;CORK;N51502619;W008293937;;;W0070;WGE;EISN;EISN;;;00500;CRK;N51502619;W008293937;11460;491;;2
166;LI;CRN;CROTONE;N38594597;E017045896;;;E0022;WGE;LIBB;LIBB;;;00521;CRN;N38594597;E017045896;11710;495;;2
167;LR;CRV;CRAIOVA;N44190696;E023552190;;;E0032;WGE;LRBB;LRBB;;;00741;CRV;N44190696;E023552190;11020;374;;2
169;LI;CSL;CASELLE;N45131100;E007385846;;;W0002;WGE;LIMM;LIMM;;;00000;CSL;N45131100;E007385846;11675;241;;1
170;LF;CTL;CHATILLON SUR MARNE;N49081590;E003343970;;;W0021;WGE;LFFF;LFFF;;;00673;CTL;N49081590;E003343970;11760;212;;2
173;EP;CZE;CZEMPIN;N52075021;E016433768;;;E0019;WGE;EPWW;EPWW;;;00295;CZE;N52075021;E016433768;11450;529;;2
175;EP;DAR;DARLOWO;N54243674;E016231710;;;E0019;WGE;EPWW;EPWW;;;00098;DAR;N54243674;E016231710;11420;000;;2
176;LD;DBK;DUBROVNIK;N42331382;E018163876;;;E0021;WGE;LDZO;LDZO;;;00547;DBK;N42331382;E018163876;11540;000;;2
