10963;ED;IKOW;ILS PISTE;N50513309;E007071454;EDDK;ED;W000;WGE;;;;;;1;10910;RW25;2450;N50520137;E007090809;0787;;1024;;300;04;90027;2
11040;ED;IDNE;ILS PISTE;N51180199;E006470278;EDDL;ED;W000;WGE;;;;;;3;10950;RW05L;0530;N51171745;E006451393;1319;;0674;;300;05;20011;6
11041;ED;IDNW;ILS PISTE;N51165570;E006444366;EDDL;ED;W000;WGE;;;;;;3;10930;RW23R;2330;N51174491;E006461667;0932;;0691;;300;04;80012;4
11042;ED;IDSE;ILS PISTE;N51174960;E006471943;EDDL;ED;W000;WGE;;;;;;3;11150;RW05R;0530;N51170236;E006452747;0525;;0678;;300;05;10011;4
11043;ED;IDSW;ILS PISTE;N51164265;E006445892;EDDL;ED;W000;WGE;;;;;;3;10990;RW23L;2330;N51173676;E006463709;0673;;0819;;300;05;20014;7
11140;ED;IMNE;ILS PISTE;N48220210;E011493333;EDDM;ED;E001;WGE;;;;;;3;11030;RW08L;0820;N48215301;E011461849;1163;;1247;;300;05;00147;6
11141;ED;IMNW;ILS PISTE;N48214464;E011454607;EDDM;ED;E001;WGE;;;;;;3;10870;RW26R;2620;N48220537;E011485947;1163;;1312;;300;05;00144;9
11142;ED;IMSE;ILS PISTE;N48204259;E011483371;EDDM;ED;E001;WGE;;;;;;3;11090;RW08R;0820;N48202176;E011451922;1162;;0984;;300;05;00147;6
11143;ED;IMSW;ILS PISTE;N48202509;E011444656;EDDM;ED;E001;WGE;;;;;;3;10830;RW26L;2620;N48203437;E011480314;1163;;0160;;300;05;00147;6
11215;ED;INUE;ILS PISTE;N49294723;E011060294;EDDN;ED;E001;WGE;;;;;;1;11130;RW10;0970;N49300617;E011035030;1230;;1204;;300;55;00102;5
11216;ED;INUW;ILS PISTE;N49300372;E011031530;EDDN;ED;E001;WGE;;;;;;3;10910;RW28;2770;N49295623;E011052956;1230;;0180;;300;55;10104;5
11304;ED;ILNE;ILS PISTE;N51260202;E012162192;EDDP;ED;E001;WGE;;;;;;3;10855;RW08;0840;N51255815;E012131434;1215;;0108;;300;05;00041;8
11305;ED;ILNW;ILS PISTE;N51255157;E012123786;EDDP;ED;E001;WGE;;;;;;3;10835;RW26;2640;N51260510;E012154345;1214;;1291;;300;05;00044;8
11306;ED;ILZE;ILS PISTE;N51244025;E012145813;EDDP;ED;E001;WGE;;;;;;1;11190;RW10;1040;N51245785;E012124598;1223;;0243;;300;05;00042;0
11307;ED;ILZW;ILS PISTE;N51250860;E012121259;EDDP;ED;E001;WGE;;;;;;3;11030;RW28;2840;N51244157;E012142266;1378;;0262;;300;05;00045;9
11333;ED;DSB;ILS PISTE;N49125084;E007054179;EDDR;ED;W000;WGE;;;;;;1;10870;RW27;2670;N49124950;E007070804;0416;;1174;;300;06;60105;7
11386;ED;ISTE;ILS PISTE;N48414100;E009145113;EDDS;ED;E001;WGE;;;;;;3;11090;RW07;0730;N48411095;E009123559;0937;;0413;;300;05;10126;7
11387;ED;ISTW;ILS PISTE;N48410108;E009112064;EDDS;ED;E001;WGE;;;;;;3;10990;RW25;2530;N48413212;E009142559;2779;;0303;;300;05;90118;1
